colours,name,description,flag
WRG,"Żmigród","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/POL_%C5%BBmigr%C3%B3d_flag.svg/1024px-POL_%C5%BBmigr%C3%B3d_flag.svg.png
WRB,"Schaumburg-Lippe (1880-1935)","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flagge_F%C3%BCrstentum_Schaumburg-Lippe.svg/1024px-Flagge_F%C3%BCrstentum_Schaumburg-Lippe.svg.png
WRW,"Belarus (1918, 1991-95)",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Belarus_%281918%2C_1991%E2%80%931995%29.svg/1024px-Flag_of_Belarus_%281918%2C_1991%E2%80%931995%29.svg.png
WRK,"Botswana Democratic Party","Botswana",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Flag_of_the_Botswana_Democratic_Party.svg/1024px-Flag_of_the_Botswana_Democratic_Party.svg.png
WRY,"South Ossetia","(Georgia)",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_South_Ossetia.svg/1024px-Flag_of_South_Ossetia.svg.png
KRG,"Parchim","Germany",https://fotw.info/images/d/de-pc-pc999.gif
KRB,"East Frisia","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_East_Frisia.svg/1024px-Flag_of_East_Frisia.svg.png
KRW,"Horní Počernice","Czech Republic",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Horni_Pocernice.svg/1024px-Flag_of_Horni_Pocernice.svg.png
KRK,"Sudeten Germans","Czech Republic",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Province_Sudetenland.Svg/1024px-Flag_of_Province_Sudetenland.Svg.png
KRY,"Germany",,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/1024px-Flag_of_Germany.svg.png
YRG,"Bilzen","Belgium",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Bilzen.svg/1024px-Flag_of_Bilzen.svg.png
YRB,"North Holland","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Holland.svg/1024px-Flag_of_North_Holland.svg.png
YRW,"Carinthia","Austria",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Carinthia.svg/1024px-Flag_of_Carinthia.svg.png
YRK,"Kamenný Újezd*","Czech Republic",https://fotw.info/images/c/cz-ro-ku.gif
YRY,"Baden(1806-1952)","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Flagge_Gro%C3%9Fherzogtum_Baden_%281891%E2%80%931918%29.svg/1024px-Flagge_Gro%C3%9Fherzogtum_Baden_%281891%E2%80%931918%29.svg.png

RGR,"Tungurahua Province","Ecuador",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Bandera_Provincia_Tungurahua.svg/1024px-Bandera_Provincia_Tungurahua.svg.png
RGB,"Arona","Spain",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Bandera_de_Arona.svg/1024px-Bandera_de_Arona.svg.png
RGW,"Ipiales","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Ipiales.svg/1024px-Flag_of_Ipiales.svg.png
RGK,"Aalsmeer","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Aalsmeer_flag.svg/1024px-Aalsmeer_flag.svg.png
RGY,"Jesús de Otoro","Honduras",https://fotw.info/images/h/hn-in-06.gif
BGR,"Villavicencio","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Villavicencio.svg/1024px-Flag_of_Villavicencio.svg.png
BGB,"Vinni","Estonia",https://fotw.info/images/e/ee-vinnl.gif
BGW,"Komi Republic","Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Komi.svg/1024px-Flag_of_Komi.svg.png
BGK,"Cabimas*","Venezuela",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Cabimas_flag.svg/1024px-Cabimas_flag.svg.png
BGY,"Zaamar","Mongolia",https://www.crwflags.com/fotw/images/m/mn-tov-zaa.gif
WGR,"Bulgaria",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/1024px-Flag_of_Bulgaria.svg.png
WGB,"Tamsalu Parish","Estonia",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Tamsalu.svg/1024px-Flag_of_Tamsalu.svg.png
WGW,"Groningen","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Groningen_City.svg/1024px-Flag_of_Groningen_City.svg.png
WGK,"Ural Provisional Provincial Government (1918)","Russia",https://fotw.info/images/r/ru-ural2.gif
WGY,"Huila","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Huila.svg/1024px-Flag_of_Huila.svg.png
KGR,"Parchim (1994-99)","Germany",https://fotw.info/images/d/de-pc-pc.gif
KGB,"Fadhli Sultanate* (?-1967)",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Flag_of_the_Sultanate_of_Fadhli.svg/1024px-Flag_of_the_Sultanate_of_Fadhli.svg.png
KGW,"Kingdom of Hejaz* (1917-20)",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Hejaz_1917.svg/1024px-Flag_of_Hejaz_1917.svg.png
KGK
KGY,"Saxe-Weimar-Eisenach (1813-97)","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flagge_Gro%C3%9Fherzogtum_Sachsen-Weimar-Eisenach_%281813-1897%29.svg/1024px-Flagge_Gro%C3%9Fherzogtum_Sachsen-Weimar-Eisenach_%281813-1897%29.svg.png
YGR,"Lithuania",,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/1024px-Flag_of_Lithuania.svg.png
YGB,"El Guamo","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flag_of_El_Guamo_%28Bol%C3%ADvar%29.svg/1024px-Flag_of_El_Guamo_%28Bol%C3%ADvar%29.svg.png
YGW,"Františkovy Lázně","Czech Republic",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Frantiskovy_Lazne.svg/1024px-Flag_of_Frantiskovy_Lazne.svg.png
YGK,"Remedios","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Remedios_%28Antioquia%29.svg/1024px-Flag_of_Remedios_%28Antioquia%29.svg.png
YGY,"Võru","Estonia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_et-V%C3%B5ru.svg/1024px-Flag_of_et-V%C3%B5ru.svg.png

RBR,"Sindi","Estonia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_et-Sindi.svg/1024px-Flag_of_et-Sindi.svg.png
RBG,"Republic of Karelia","Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Karelia.svg/1024px-Flag_of_Karelia.svg.png
RBW,"Serbia (1992-2004)",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Flag_of_Serbia_%281992%E2%80%932004%29.svg/1024px-Flag_of_Serbia_%281992%E2%80%932004%29.svg.png
RBK
RBY,"Armenia",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/1024px-Flag_of_Armenia.svg.png
GBR,"Dagestan","Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Dagestan.svg/1024px-Flag_of_Dagestan.svg.png
GBG,"San Luis*","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_San_Luis_%28Antioquia%29.svg/1024px-Flag_of_San_Luis_%28Antioquia%29.svg.png
GBW
GBK
GBY
WBR,"Russia",,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/1024px-Flag_of_Russia.svg.png
WBG
WBW,"Tucumán","Argentina",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bandera_de_la_Provincia_de_Tucum%C3%A1n.svg/1024px-Bandera_de_la_Provincia_de_Tucum%C3%A1n.svg.png
WBK
WBY,"Slovenian Naval Jack",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Naval_jack_of_Slovenia.svg/1024px-Naval_jack_of_Slovenia.svg.png
KBR,"Donetsk People's Republic","(Ukraine)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Donetsk_People%27s_Republic.svg/1024px-Flag_of_Donetsk_People%27s_Republic.svg.png
KBG
KBW
KBK
KBY
YBR,"Colombia",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/1024px-Flag_of_Colombia.svg.png
YBG,"Guainía","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Guain%C3%ADa.svg/1024px-Flag_of_Guain%C3%ADa.svg.png
YBW,"Ovalle","Chile",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Flag_of_Ovalle%2C_Chile.svg/1024px-Flag_of_Ovalle%2C_Chile.svg.png
YBK
YBY,"Ottignies-Louvain-la-Neuve","Belgium",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Drapeau_Ottignies-LLN.svg/1024px-Drapeau_Ottignies-LLN.svg.png

RKR,"Albania (civil ensign)"
RKG,"Pan-Africanism"
RKB,"Lord's Resistance Army",
RKW
RKY
GKR
GKG
GKB
GKW
GKY
BKR
BKG,"Zanzibar (1964)"
BKB
BKW,"Estonia"
BKY,"Placilla","Chile"
WKR
WKG,"Kadrina Parish","Estonia"
WKB
WKW,"Delft","Netherlands"
WKY
YKR,"Transcaucasian Federation (1918)"
YKG
YKB
YKW
YKY,"Herne*","Germany"

RYR,"Karlsruhe","Germany"
RYG,"Bolivia (civil variant)",,
RYB,"Free State of Fiume (1920-24)",,
RYW
RYK
GYR,"Ethiopia (1914-36)"
GYG,"Cauca","Colombia"
GYB,"Gabon"
GYW
GYK
BYR,"Mecklenburg","Germany"
BYG,"Sudan (1956-70)"
BYB,"Silesian Voivodeship","Poland"
BYW
BYK,"Gelderland","Netherlands"
WYR,"Hradec Králové","Czech Republic"
WYG,"Guayanilla","Puerto Rico"
WYB
WYW
WYK,"Perak","Malaysia"
KYR
KYG,"Bushmanland (1989)","South West Africa"
KYB
KYW,"Russia (1858-83)"
KYK
